/Users/aaron/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-11-14 09:27:56,273 - INFO - 🚀 开始执行全量决策分析 - 2025-11-14 09:27:56
2025-11-14 09:27:56,282 - INFO - 📊 准备分析 443 只股票
2025-11-14 09:27:56,282 - INFO - 开始批量分析 443 只股票
2025-11-14 09:27:56,282 - INFO - 📊 预加载市场环境数据...
2025-11-14 09:27:56,303 - INFO - 📈 当前市场环境: 市场环境:
大盘: 大盘小幅调整，市场谨慎观望
指数: 上证指数-0.6%, 深证成指-1.1%, ...
2025-11-14 09:27:56,303 - INFO - 🔄 批量获取实时价格数据...
2025-11-14 09:27:57,151 - INFO - ⚡ 开始并行技术分析...
2025-11-14 09:28:01,643 - INFO - 📊 000002 分析完成: 卖出 (中等)
2025-11-14 09:28:01,821 - INFO - 📊 000100 分析完成: 买入 (强烈)
2025-11-14 09:28:01,860 - INFO - 📊 000301 分析完成: 买入 (强烈)
2025-11-14 09:28:01,983 - INFO - 📊 000166 分析完成: 卖出 (中等)
2025-11-14 09:28:02,118 - INFO - 📊 000157 分析完成: 买入 (中等)
2025-11-14 09:28:02,191 - INFO - 📊 000001 分析完成: 持有 (中等)
2025-11-14 09:28:02,261 - INFO - 📊 000063 分析完成: 卖出 (中等)
2025-11-14 09:28:02,344 - INFO - 📊 000333 分析完成: 买入 (强烈)
2025-11-14 09:28:06,716 - INFO - 📊 000423 分析完成: 持有 (中等)
2025-11-14 09:28:06,801 - INFO - 📊 000625 分析完成: 卖出 (中等)
2025-11-14 09:28:06,906 - INFO - 📊 000338 分析完成: 买入 (强烈)
2025-11-14 09:28:06,919 - INFO - 📊 000651 分析完成: 持有 (中等)
2025-11-14 09:28:07,065 - INFO - 📊 000568 分析完成: 持有 (中等)
2025-11-14 09:28:07,175 - INFO - 📊 000683 分析完成: 持有 (中等)
2025-11-14 09:28:07,219 - INFO - 📊 000703 分析完成: 持有 (较弱)
2025-11-14 09:28:07,230 - INFO - 📊 000686 分析完成: 买入 (强烈)
2025-11-14 09:28:11,354 - INFO - 📊 000768 分析完成: 卖出 (中等)
2025-11-14 09:28:11,502 - INFO - 📊 000783 分析完成: 买入 (强烈)
2025-11-14 09:28:11,576 - INFO - 📊 000792 分析完成: 买入 (强烈)
2025-11-14 09:28:11,720 - INFO - 📊 000725 分析完成: 卖出 (中等)
2025-11-14 09:28:11,837 - INFO - 📊 000776 分析完成: 持有 (较弱)
2025-11-14 09:28:11,881 - INFO - 📊 000858 分析完成: 持有 (中等)
2025-11-14 09:28:12,331 - INFO - 📊 000839 分析完成: 买入 (强烈)
2025-11-14 09:28:12,386 - INFO - 📊 000876 分析完成: 买入 (强烈)
2025-11-14 09:28:16,126 - INFO - 📊 000898 分析完成: 持有 (较弱)
2025-11-14 09:28:16,473 - INFO - 📊 000938 分析完成: 卖出 (中等)
2025-11-14 09:28:16,501 - INFO - 📊 000961 分析完成: 持有 (较弱)
2025-11-14 09:28:16,552 - INFO - 📊 000895 分析完成: 买入 (强烈)
2025-11-14 09:28:16,631 - INFO - 📊 000983 分析完成: 卖出 (中等)
2025-11-14 09:28:16,645 - INFO - 📊 000977 分析完成: 卖出 (中等)
2025-11-14 09:28:17,094 - INFO - 📊 002001 分析完成: 持有 (中等)
2025-11-14 09:28:17,365 - INFO - 📊 002008 分析完成: 卖出 (中等)
2025-11-14 09:28:20,952 - INFO - 📊 002024 分析完成: 持有 (较弱)
2025-11-14 09:28:21,014 - INFO - 📊 002120 分析完成: 持有 (较弱)
2025-11-14 09:28:21,200 - INFO - 📊 002065 分析完成: 持有 (较弱)
2025-11-14 09:28:21,422 - INFO - 📊 002081 分析完成: 持有 (较弱)
2025-11-14 09:28:21,561 - INFO - 📊 002049 分析完成: 卖出 (中等)
2025-11-14 09:28:21,563 - INFO - 📊 002027 分析完成: 持有 (较弱)
2025-11-14 09:28:21,874 - INFO - 📊 002129 分析完成: 买入 (强烈)
2025-11-14 09:28:22,296 - INFO - 📊 002142 分析完成: 买入 (强烈)
2025-11-14 09:28:25,612 - INFO - 📊 002153 分析完成: 持有 (较弱)
2025-11-14 09:28:25,667 - INFO - 📊 002174 分析完成: 卖出 (中等)
2025-11-14 09:28:25,837 - INFO - 📊 002202 分析完成: 持有 (较弱)
2025-11-14 09:28:26,051 - INFO - 📊 002179 分析完成: 持有 (中等)
2025-11-14 09:28:26,128 - INFO - 📊 002230 分析完成: 持有 (较弱)
2025-11-14 09:28:26,310 - INFO - 📊 002236 分析完成: 卖出 (中等)
2025-11-14 09:28:26,634 - INFO - 📊 002241 分析完成: 卖出 (中等)
2025-11-14 09:28:27,475 - INFO - 📊 002252 分析完成: 买入 (强烈)
2025-11-14 09:28:29,966 - INFO - 📊 002271 分析完成: 卖出 (中等)
2025-11-14 09:28:30,353 - INFO - 📊 002304 分析完成: 持有 (较弱)
2025-11-14 09:28:30,820 - INFO - 📊 002332 分析完成: 持有 (较弱)
2025-11-14 09:28:30,931 - INFO - 📊 002317 分析完成: 买入 (强烈)
2025-11-14 09:28:31,128 - INFO - 📊 002311 分析完成: 买入 (强烈)
2025-11-14 09:28:31,397 - INFO - 📊 002344 分析完成: 买入 (强烈)
2025-11-14 09:28:31,465 - INFO - 📊 002352 分析完成: 买入 (强烈)
2025-11-14 09:28:32,109 - INFO - 📊 002371 分析完成: 持有 (中等)
2025-11-14 09:28:34,695 - INFO - 📊 002405 分析完成: 卖出 (中等)
2025-11-14 09:28:35,883 - INFO - 📊 002422 分析完成: 持有 (中等)
2025-11-14 09:28:35,924 - INFO - 📊 002415 分析完成: 卖出 (中等)
2025-11-14 09:28:36,139 - INFO - 📊 002456 分析完成: 持有 (较弱)
2025-11-14 09:28:36,439 - INFO - 📊 002410 分析完成: 持有 (较弱)
2025-11-14 09:28:36,585 - INFO - 📊 002466 分析完成: 买入 (强烈)
2025-11-14 09:28:36,658 - INFO - 📊 002460 分析完成: 持有 (较弱)
2025-11-14 09:28:37,522 - INFO - 📊 002475 分析完成: 持有 (较弱)
2025-11-14 09:28:39,643 - INFO - 📊 002493 分析完成: 买入 (强烈)
2025-11-14 09:28:41,253 - INFO - 📊 002507 分析完成: 买入 (强烈)
2025-11-14 09:28:41,321 - INFO - 📊 002601 分析完成: 持有 (较弱)
2025-11-14 09:28:41,556 - INFO - 📊 002572 分析完成: 持有 (较弱)
2025-11-14 09:28:41,659 - INFO - 📊 002594 分析完成: 持有 (较弱)
2025-11-14 09:28:41,772 - INFO - 📊 002555 分析完成: 持有 (较弱)
2025-11-14 09:28:41,808 - INFO - 📊 002558 分析完成: 持有 (中等)
2025-11-14 09:28:41,878 - INFO - 📊 002602 分析完成: 持有 (较弱)
2025-11-14 09:28:44,272 - INFO - 📊 002624 分析完成: 持有 (较弱)
2025-11-14 09:28:45,812 - INFO - 📊 002648 分析完成: 持有 (较弱)
2025-11-14 09:28:46,213 - INFO - 📊 002673 分析完成: 持有 (较弱)
2025-11-14 09:28:46,326 - INFO - 📊 002714 分析完成: 持有 (较弱)
2025-11-14 09:28:46,487 - INFO - 📊 002709 分析完成: 持有 (较弱)
2025-11-14 09:28:46,535 - INFO - 📊 002739 分析完成: 持有 (较弱)
2025-11-14 09:28:46,688 - INFO - 📊 002736 分析完成: 持有 (较弱)
2025-11-14 09:28:47,077 - INFO - 📊 002756 分析完成: 持有 (较弱)
2025-11-14 09:28:49,117 - INFO - 📊 002773 分析完成: 持有 (较弱)
2025-11-14 09:28:50,897 - INFO - 📊 002945 分析完成: 持有 (较弱)
2025-11-14 09:28:50,925 - INFO - 📊 002821 分析完成: 持有 (较弱)
2025-11-14 09:28:50,960 - INFO - 📊 002841 分析完成: 持有 (较弱)
2025-11-14 09:28:51,241 - INFO - 📊 002938 分析完成: 持有 (较弱)
2025-11-14 09:28:51,402 - INFO - 📊 002958 分析完成: 持有 (较弱)
2025-11-14 09:28:52,007 - INFO - 📊 300002 分析完成: 持有 (较弱)
2025-11-14 09:28:52,010 - INFO - 📊 300001 分析完成: 持有 (较弱)
2025-11-14 09:28:53,939 - INFO - 📊 300003 分析完成: 持有 (较弱)
2025-11-14 09:28:55,632 - INFO - 📊 300004 分析完成: 持有 (较弱)
2025-11-14 09:28:55,674 - INFO - 📊 300006 分析完成: 持有 (较弱)
2025-11-14 09:28:55,837 - INFO - 📊 300007 分析完成: 持有 (较弱)
2025-11-14 09:28:55,913 - INFO - 📊 300005 分析完成: 持有 (较弱)
2025-11-14 09:28:56,323 - INFO - 📊 300008 分析完成: 持有 (较弱)
2025-11-14 09:28:56,719 - INFO - 📊 300010 分析完成: 持有 (较弱)
2025-11-14 09:28:57,205 - INFO - 📊 300009 分析完成: 持有 (较弱)
2025-11-14 09:28:59,036 - INFO - 📊 300011 分析完成: 持有 (较弱)
2025-11-14 09:29:00,363 - INFO - 📊 300015 分析完成: 持有 (中等)
2025-11-14 09:29:00,706 - INFO - 📊 300014 分析完成: 买入 (强烈)
2025-11-14 09:29:00,714 - INFO - 📊 300012 分析完成: 持有 (较弱)
2025-11-14 09:29:00,716 - INFO - 📊 300013 分析完成: 持有 (较弱)
2025-11-14 09:29:00,844 - INFO - 📊 300016 分析完成: 持有 (较弱)
2025-11-14 09:29:01,488 - INFO - 📊 300017 分析完成: 持有 (较弱)
2025-11-14 09:29:01,673 - INFO - 📊 300018 分析完成: 持有 (较弱)
2025-11-14 09:29:04,005 - INFO - 📊 300019 分析完成: 持有 (较弱)
2025-11-14 09:29:05,155 - INFO - 📊 300021 分析完成: 持有 (较弱)
2025-11-14 09:29:05,415 - INFO - 📊 300022 分析完成: 持有 (较弱)
2025-11-14 09:29:05,530 - INFO - 📊 300020 分析完成: 持有 (较弱)
2025-11-14 09:29:05,569 - INFO - 📊 300023 分析完成: 持有 (较弱)
2025-11-14 09:29:06,044 - INFO - 📊 300024 分析完成: 持有 (较弱)
2025-11-14 09:29:06,277 - INFO - 📊 300025 分析完成: 持有 (较弱)
2025-11-14 09:29:06,778 - INFO - 📊 300026 分析完成: 持有 (较弱)
2025-11-14 09:29:09,126 - INFO - 📊 300027 分析完成: 持有 (较弱)
2025-11-14 09:29:09,567 - INFO - 📊 300028 分析完成: 卖出 (强烈)
2025-11-14 09:29:09,801 - INFO - 📊 300029 分析完成: 持有 (较弱)
2025-11-14 09:29:10,247 - INFO - 📊 300031 分析完成: 持有 (较弱)
2025-11-14 09:29:10,634 - INFO - 📊 300030 分析完成: 持有 (较弱)
2025-11-14 09:29:11,184 - INFO - 📊 300032 分析完成: 持有 (较弱)
2025-11-14 09:29:11,565 - INFO - 📊 300033 分析完成: 持有 (较弱)
2025-11-14 09:29:11,772 - INFO - 📊 300034 分析完成: 持有 (较弱)
2025-11-14 09:29:13,600 - INFO - 📊 300035 分析完成: 持有 (较弱)
2025-11-14 09:29:14,497 - INFO - 📊 300036 分析完成: 持有 (较弱)
2025-11-14 09:29:14,949 - INFO - 📊 300038 分析完成: 持有 (较弱)
2025-11-14 09:29:15,299 - INFO - 📊 300037 分析完成: 持有 (较弱)
2025-11-14 09:29:15,659 - INFO - 📊 300039 分析完成: 持有 (较弱)
2025-11-14 09:29:16,065 - INFO - 📊 300040 分析完成: 持有 (较弱)
2025-11-14 09:29:16,376 - INFO - 📊 300041 分析完成: 持有 (较弱)
2025-11-14 09:29:16,643 - INFO - 📊 300042 分析完成: 持有 (较弱)
2025-11-14 09:29:18,840 - INFO - 📊 300043 分析完成: 持有 (较弱)
2025-11-14 09:29:21,120 - INFO - 📊 300044 分析完成: 持有 (较弱)
2025-11-14 09:29:21,590 - INFO - 📊 300045 分析完成: 持有 (较弱)
2025-11-14 09:29:22,701 - INFO - 📊 300048 分析完成: 持有 (较弱)
2025-11-14 09:29:22,975 - INFO - 📊 300047 分析完成: 持有 (较弱)
2025-11-14 09:29:23,241 - INFO - 📊 300046 分析完成: 持有 (较弱)
2025-11-14 09:29:23,513 - INFO - 📊 300050 分析完成: 持有 (较弱)
2025-11-14 09:29:23,688 - INFO - 📊 300051 分析完成: 持有 (较弱)
2025-11-14 09:29:24,158 - INFO - 📊 300049 分析完成: 持有 (较弱)
2025-11-14 09:29:27,436 - INFO - 📊 300054 分析完成: 持有 (较弱)
2025-11-14 09:29:27,695 - INFO - 📊 300055 分析完成: 持有 (较弱)
2025-11-14 09:29:27,929 - INFO - 📊 300052 分析完成: 持有 (较弱)
2025-11-14 09:29:28,204 - INFO - 📊 300056 分析完成: 持有 (较弱)
2025-11-14 09:29:28,246 - INFO - 📊 300058 分析完成: 持有 (较弱)
2025-11-14 09:29:28,313 - INFO - 📊 300057 分析完成: 持有 (较弱)
2025-11-14 09:29:28,665 - INFO - 📊 300053 分析完成: 持有 (较弱)
2025-11-14 09:29:31,803 - INFO - 📊 300060 分析完成: 持有 (较弱)
2025-11-14 09:29:31,916 - INFO - 📊 300059 分析完成: 持有 (较弱)
2025-11-14 09:29:32,224 - INFO - 📊 300061 分析完成: 持有 (较弱)
2025-11-14 09:29:32,594 - INFO - 📊 300064 分析完成: 持有 (较弱)
2025-11-14 09:29:32,899 - INFO - 📊 300065 分析完成: 持有 (较弱)
2025-11-14 09:29:32,965 - INFO - 📊 300062 分析完成: 持有 (较弱)
2025-11-14 09:29:33,217 - INFO - 📊 300063 分析完成: 持有 (较弱)
2025-11-14 09:29:33,634 - INFO - 📊 300066 分析完成: 持有 (较弱)
2025-11-14 09:29:36,509 - INFO - 📊 300067 分析完成: 持有 (较弱)
2025-11-14 09:29:36,976 - INFO - 📊 300069 分析完成: 持有 (较弱)
2025-11-14 09:29:37,027 - INFO - 📊 300070 分析完成: 持有 (较弱)
2025-11-14 09:29:37,108 - INFO - 📊 300068 分析完成: 持有 (较弱)
2025-11-14 09:29:37,479 - INFO - 📊 300072 分析完成: 持有 (较弱)
2025-11-14 09:29:37,502 - INFO - 📊 300071 分析完成: 持有 (较弱)
2025-11-14 09:29:37,976 - INFO - 📊 300074 分析完成: 持有 (较弱)
2025-11-14 09:29:38,342 - INFO - 📊 300073 分析完成: 持有 (较弱)
2025-11-14 09:29:41,318 - INFO - 📊 300075 分析完成: 持有 (较弱)
2025-11-14 09:29:41,439 - INFO - 📊 300077 分析完成: 持有 (较弱)
2025-11-14 09:29:41,815 - INFO - 📊 300078 分析完成: 持有 (较弱)
2025-11-14 09:29:42,003 - INFO - 📊 300079 分析完成: 持有 (较弱)
2025-11-14 09:29:42,181 - INFO - 📊 300076 分析完成: 持有 (较弱)
2025-11-14 09:29:42,365 - INFO - 📊 300080 分析完成: 持有 (较弱)
2025-11-14 09:29:43,208 - INFO - 📊 300082 分析完成: 持有 (较弱)
2025-11-14 09:29:44,970 - INFO - 📊 300081 分析完成: 持有 (较弱)
2025-11-14 09:29:45,986 - INFO - 📊 300084 分析完成: 持有 (较弱)
2025-11-14 09:29:46,334 - INFO - 📊 300085 分析完成: 持有 (较弱)
2025-11-14 09:29:46,544 - INFO - 📊 300086 分析完成: 持有 (较弱)
2025-11-14 09:29:47,057 - INFO - 📊 300087 分析完成: 持有 (较弱)
2025-11-14 09:29:47,310 - INFO - 📊 300088 分析完成: 持有 (较弱)
2025-11-14 09:29:47,311 - INFO - 📊 300083 分析完成: 持有 (较弱)
2025-11-14 09:29:49,551 - INFO - 📊 300090 分析完成: 卖出 (强烈)
2025-11-14 09:29:50,819 - INFO - 📊 300089 分析完成: 卖出 (强烈)
2025-11-14 09:29:50,852 - INFO - 📊 300091 分析完成: 持有 (较弱)
2025-11-14 09:29:51,038 - INFO - 📊 300092 分析完成: 持有 (较弱)
2025-11-14 09:29:51,269 - INFO - 📊 300093 分析完成: 持有 (较弱)
2025-11-14 09:29:51,423 - INFO - 📊 300094 分析完成: 持有 (较弱)
2025-11-14 09:29:51,888 - INFO - 📊 300095 分析完成: 持有 (较弱)
2025-11-14 09:29:53,699 - INFO - 📊 300096 分析完成: 持有 (较弱)
2025-11-14 09:29:54,792 - INFO - 📊 300097 分析完成: 持有 (较弱)
2025-11-14 09:29:55,623 - INFO - 📊 300099 分析完成: 持有 (较弱)
2025-11-14 09:29:55,651 - INFO - 📊 300122 分析完成: 持有 (较弱)
2025-11-14 09:29:55,736 - INFO - 📊 300098 分析完成: 持有 (较弱)
2025-11-14 09:29:56,153 - INFO - 📊 300136 分析完成: 持有 (较弱)
2025-11-14 09:29:56,470 - INFO - 📊 300124 分析完成: 卖出 (中等)
2025-11-14 09:29:56,686 - INFO - 📊 300142 分析完成: 持有 (较弱)
2025-11-14 09:29:58,559 - INFO - 📊 300274 分析完成: 持有 (较弱)
2025-11-14 09:29:59,663 - INFO - 📊 300308 分析完成: 持有 (较弱)
2025-11-14 09:29:59,937 - INFO - 📊 300325 分析完成: 持有 (较弱)
2025-11-14 09:29:59,970 - INFO - 📊 300347 分析完成: 持有 (较弱)
2025-11-14 09:30:00,288 - INFO - 📊 300316 分析完成: 持有 (较弱)
2025-11-14 09:30:00,662 - INFO - 📊 300357 分析完成: 持有 (较弱)
2025-11-14 09:30:01,045 - INFO - 📊 300363 分析完成: 持有 (较弱)
2025-11-14 09:30:01,503 - INFO - 📊 300373 分析完成: 持有 (较弱)
2025-11-14 09:30:03,330 - INFO - 📊 300383 分析完成: 持有 (较弱)
2025-11-14 09:30:04,370 - INFO - 📊 300390 分析完成: 持有 (较弱)
2025-11-14 09:30:05,011 - INFO - 📊 300413 分析完成: 持有 (较弱)
2025-11-14 09:30:05,052 - INFO - 📊 300408 分析完成: 持有 (较弱)
2025-11-14 09:30:05,439 - INFO - 📊 300433 分析完成: 持有 (较弱)
2025-11-14 09:30:06,366 - INFO - 📊 300454 分析完成: 持有 (较弱)
2025-11-14 09:30:06,369 - INFO - 📊 300450 分析完成: 持有 (较弱)
2025-11-14 09:30:08,148 - INFO - 📊 300482 分析完成: 持有 (较弱)
2025-11-14 09:30:08,987 - INFO - 📊 300496 分析完成: 持有 (较弱)
2025-11-14 09:30:09,685 - INFO - 📊 300529 分析完成: 持有 (较弱)
2025-11-14 09:30:10,426 - INFO - 📊 300568 分析完成: 持有 (较弱)
2025-11-14 09:30:10,835 - INFO - 📊 300601 分析完成: 持有 (较弱)
2025-11-14 09:30:10,863 - INFO - 📊 300595 分析完成: 买入 (强烈)
2025-11-14 09:30:10,894 - INFO - 📊 300558 分析完成: 持有 (较弱)
2025-11-14 09:30:13,266 - INFO - 📊 300628 分析完成: 持有 (较弱)
2025-11-14 09:30:13,286 - INFO - 📊 300618 分析完成: 持有 (较弱)
